id,nama_lapangan,jenis_olahraga,lokasi,harga_per_jam,fasilitas,rating,jumlah_ulasan
1,Futsal Arena Senayan,Futsal,Jakarta,150000,"Parkir, Musholla, Kantin",0,0
2,Galaxy Futsal Center,Futsal,Bandung,120000,"Parkir, Toilet, Locker",0,0
3,Cipete Futsal Hall,Futsal,Jakarta,180000,"Tribun, Kafe, Parkir",0,0
4,Mega Futsal Bekasi,Futsal,Bekasi,100000,"AC, Toilet, Musholla",0,0
5,Citra Futsal Bandung,Futsal,Bandung,130000,"Parkir, Tribun, Kantin",0,0
6,Sportivo Futsal Depok,Futsal,Depok,140000,"Locker, Musholla, Parkir",0,0
7,Futsal 88 Tangerang,Futsal,Tangerang,110000,"Toilet, Kantin, Musholla",0,0
8,Prima Futsal Malang,Futsal,Malang,160000,"Parkir, AC, Tribun",0,0
9,Bintang Futsal Surabaya,Futsal,Surabaya,170000,"Locker, Parkir, Kafe",0,0
10,Futsal Mandiri Jogja,Futsal,Yogyakarta,150000,"Musholla, Parkir, Kantin",0,0
11,Champion Futsal Semarang,Futsal,Semarang,120000,"Tribun, AC, Parkir",0,0
12,Futsal Galaxy Makassar,Futsal,Makassar,130000,"Locker, Toilet, Musholla",0,0
13,Victory Futsal Palembang,Futsal,Palembang,100000,"Parkir, Kantin, Tribun",0,0
14,Cendana Futsal Medan,Futsal,Medan,140000,"AC, Locker, Parkir",0,0
15,Delta Futsal Sidoarjo,Futsal,Sidoarjo,120000,"Parkir, Kantin, Toilet",0,0
16,Metro Futsal Pontianak,Futsal,Pontianak,160000,"Tribun, Musholla, Parkir",0,0
17,Royal Futsal Bali,Futsal,Denpasar,180000,"AC, Locker, Kafe",0,0
18,Platinum Futsal Cirebon,Futsal,Cirebon,150000,"Parkir, Musholla, Kantin",0,0
19,SportOne Futsal Balikpapan,Futsal,Balikpapan,130000,"Tribun, Toilet, Parkir",0,0
20,Elite Futsal Pekanbaru,Futsal,Pekanbaru,140000,"AC, Parkir, Musholla",0,0
21,GOR Badminton Kukusan,Bulutangkis,Depok,45000,”Toilet, Parkir, Musholla”,0,0
22,GOR Bulutangkis PB Sehati,Bulutangkis,Depok,35000,"Parkir, Kantin",0,0
23,Smash Point Badminton Hall,Bulutangkis,Jakarta Barat,95000,"Parkir, Toilet, Musholla, Kantin, Ruang Ganti",0,0
24,GOR Swadaya 8 (Yokstone),Bulutangkis,Depok,40000, "Parkir, Toilet, Mushola",0,0
25,Kans Badminton Hall,Bulutangkis,Depok,50000, "Toilet, Parkir,Mushola, Kantin",0,0
26,GOR Bulutangkis Hafa New99,Bulutangkis,Depok,45000,"Toilet, Parkir, Mushola, Kantin, Shower",0,0
27,Lapangan Gedung Serba Guna RW4 Bintara Jaya,Bulutangkis,Bekasi,32000,"Parkir, Toilet",0,0
28,GOR OASIS PB BHINNEKA,Bulutangkis,Bekasi,50000, "Toilet, Parkir, Lampu",0,0
29,Gor Areman,Bulutangkis,Depok,30000,"Parkir Motor & Mobil, Musholla, Ruang Ganti",0,0
30,GBK Arena - Lapangan 5C,Bulutangkis,Jakarta Pusat,150000,"AC, Toilet, Musholla, Parkir",0,0
31,GCT Badminton,Bulutangkis,Jakarta Selatan,100000,"Toilet, Parkir, Mushola, Shower",0,0
32,Grand Sport Center Kuningan,Bulutangkis,Jakarta Selatan,90000,"Parkir, Toilet, Kantin",0,0
33,Supreme Arena Badminton,Bulutangkis,Jakarta Selatan,90000,"Parkir, Toilet, AC",0,0
34,Zeta Sport Center (Badminton),Bulutangkis,Jakarta Timur,42000, "Parkir, Toilet",0,0
